gender,age,income,total_amount,p_completed,n_received,p_viewed
F,55,112000.0,77.01,0.06492663290481755,2,0.0
F,75,100000.0,159.27,0.12557292647705154,4,1.0
M,68,70000.0,57.730000000000004,0.25983024424042955,4,0.75
M,65,53000.0,36.43,0.9607466373867691,6,1.0
M,58,51000.0,15.62,0.6402048655569783,3,0.6666666666666666
F,61,57000.0,85.55,0.29222676797194624,5,1.0
M,26,46000.0,56.22,0.35574528637495556,6,0.16666666666666666
F,62,71000.0,160.25,0.1934477379095164,6,0.8333333333333334
M,49,52000.0,144.10999999999999,0.06939143709666228,3,0.6666666666666666
M,57,42000.0,19.1,0.6282722513089005,5,0.2
F,61,40000.0,20.78,0.0,3,0.6666666666666666
F,40,71000.0,300.68,0.16961553811360916,5,0.8
M,64,100000.0,211.29000000000002,0.2366415826589048,5,0.8
F,78,71000.0,155.46,0.06432522835456066,6,1.0
M,42,69000.0,91.4,0.3282275711159737,4,1.0
F,56,88000.0,75.62,0.7934408886537953,6,1.0
F,33,52000.0,17.9,0.558659217877095,6,0.5
F,46,59000.0,2.88,0.0,4,0.25
M,59,41000.0,52.08,0.3840245775729647,6,0.8333333333333334
M,67,96000.0,206.88,0.14017788089713845,4,0.75
O,53,52000.0,18.740000000000002,0.5336179295624333,5,0.6
M,22,70000.0,106.38,0.4418123707463809,6,1.0
F,96,89000.0,81.92,0.32958984375,5,0.4
M,40,33000.0,40.94,0.12212994626282365,6,0.6666666666666666
F,69,57000.0,213.49,0.14052180429996722,6,1.0
M,56,68000.0,167.67000000000002,0.17892288423689387,3,0.6666666666666666
F,26,63000.0,73.38000000000001,0.23167075497410736,3,1.0
M,75,40000.0,155.53,0.20574808718575194,4,0.75
F,20,30000.0,29.89,0.0,2,0.5
M,45,33000.0,61.25,0.35918367346938773,5,1.0
M,61,98000.0,234.43,0.1365013010280254,5,0.8
F,69,37000.0,32.72,0.6112469437652812,5,0.6
F,54,80000.0,249.4,0.10024057738572574,6,0.8333333333333334
M,39,51000.0,51.91000000000001,0.09632055480639566,5,0.6
F,41,41000.0,62.510000000000005,0.3519436890097584,4,0.5
F,79,48000.0,152.0,0.13157894736842105,4,0.5
F,66,38000.0,56.08,0.0891583452211127,4,1.0
F,56,52000.0,87.10999999999999,0.5395476983124786,3,0.3333333333333333
F,39,56000.0,150.23000000000002,0.14644212207947813,5,0.6
M,42,96000.0,320.48,0.1466550174737893,4,1.0
F,78,93000.0,225.55,0.2438483706495234,5,1.0
M,45,48000.0,17.0,0.0,4,0.5
M,29,50000.0,38.169999999999995,0.5239717055279016,4,0.5
M,44,35000.0,150.23000000000002,0.19303734274113024,4,1.0
M,63,56000.0,121.61999999999999,0.24666995559940802,3,1.0
